time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1699776387.70627046,0.01626555,17095,0.00270040,0.00000000,0,0.00000000,422,1425,1221,0.00000000
1699776387.76959753,0.00551126,7715,0.00100596,0.00000000,0,0.00000000,1425,1730,417,0.00238883
1699776387.93578315,0.00934440,11270,0.00089844,0.00000000,0,0.00000000,1730,1862,347,0.00001304
1699776387.96723056,0.00704017,13769,0.00092560,0.00000000,0,0.00000000,1862,2200,596,0.00287241
1699776388.14690948,0.00416987,9373,0.00044967,0.00000000,0,0.00000000,2200,2083,108,0.00008996
1699776388.16732359,0.00993584,15764,0.00073794,0.00000000,0,0.00000000,2083,2204,427,0.00088358
1699776388.35738468,0.00825669,7124,0.00021522,0.00000000,0,0.00000000,2204,2244,95,0.00020727
1699776388.36760163,0.00942849,17781,0.00068559,0.00000000,0,0.00000000,2244,2404,370,0.00018886
1699776388.58863163,0.00125704,95,0.00003430,0.00000000,0,0.00000000,2404,2403,4,0.00024581
1699776388.58868051,0.00048427,95,0.00001445,0.00000000,0,0.00000000,2403,2405,2,0.00034676
1699776388.66749787,0.00732668,4835,0.00082176,0.00000000,0,0.00000000,2405,2539,327,0.00042660
1699776388.82133126,0.01402261,14466,0.00054989,0.00000000,0,0.00000000,2539,2499,205,0.00014872
1699776388.86724281,0.00661254,10564,0.00052576,0.00000000,0,0.00000000,2499,2504,191,0.00037937
1699776389.03005624,0.00692945,12768,0.00028406,0.00000000,0,0.00000000,2504,2564,115,0.00000254
1699776389.06714869,0.00373091,12768,0.00017286,0.00000000,0,0.00000000,2564,2576,56,0.00066949
1699776389.25992703,0.00391370,6852,0.00013174,0.00000000,0,0.00000000,2576,2591,45,0.00015748
1699776389.26726818,0.00802930,18322,0.00044309,0.00000000,0,0.00000000,2591,2676,215,0.00038040
1699776389.49067116,0.00120681,95,0.00012872,0.00000000,0,0.00000000,2676,2652,4,0.00019967
1699776389.49068737,0.00035096,95,0.00002463,0.00000000,0,0.00000000,2652,2653,3,0.00024152
1699776389.56720257,0.00602279,4334,0.00019432,0.00000000,0,0.00000000,2653,2662,37,0.00036707
1699776389.71674466,0.00880422,14855,0.00064648,0.00000000,0,0.00000000,2662,2660,177,0.00009844
1699776389.76746178,0.00671437,10271,0.00035080,0.00000000,0,0.00000000,2660,2687,125,0.00039708
1699776389.94581175,0.00568767,9260,0.00025380,0.00000000,0,0.00000000,2687,2703,104,0.00000382
1699776389.96716738,0.00951860,15406,0.00038863,0.00000000,0,0.00000000,2703,2771,145,0.00036632
1699776390.26707625,0.00267784,1834,0.00014268,0.00000000,0,0.00000000,2771,2785,20,0.00015060
1699776390.40503287,0.01403286,16706,0.00034180,0.00000000,0,0.00000000,2785,2855,160,0.00029574
1699776390.46724176,0.00331616,7807,0.00014316,0.00000000,0,0.00000000,2855,2849,40,0.00020292
1699776390.63401651,0.01159612,10862,0.00072359,0.00000000,0,0.00000000,2849,2823,132,0.00020101
1699776390.66698885,0.00681459,12831,0.00027226,0.00000000,0,0.00000000,2823,2879,109,0.00029203
1699776390.86392403,0.00603807,5838,0.00027556,0.00000000,0,0.00000000,2879,2911,80,0.00000177
1699776390.86717105,0.00851701,18767,0.00020506,0.00000000,0,0.00000000,2911,2961,109,0.00092767
1699776391.07061911,0.00140700,94,0.00000060,0.00000000,0,0.00000000,2961,2961,0,0.00006629
1699776391.07065654,0.00062961,94,0.00001438,0.00000000,0,0.00000000,2961,2962,1,0.00050293
1699776391.16709304,0.00535011,8577,0.00018006,0.00000000,0,0.00000000,2962,2971,50,0.00016907
1699776391.26760507,0.01457948,17819,0.00037707,0.00000000,0,0.00000000,2971,2977,83,0.00048566
1699776391.44513416,0.01032804,9448,0.00032089,0.00000000,0,0.00000000,2977,3010,92,0.00025169
1699776391.46759415,0.00698399,15652,0.00025999,0.00000000,0,0.00000000,3010,3033,97,0.00009575
1699776391.63170218,0.00649226,11835,0.00024975,0.00000000,0,0.00000000,3033,3049,83,0.00043175
1699776391.66806245,0.00395868,11835,0.00016683,0.00000000,0,0.00000000,3049,3051,40,0.00000234
1699776391.85173869,0.00928729,7889,0.00029682,0.00000000,0,0.00000000,3051,3073,44,0.00127882
1699776391.86714864,0.00233568,7889,0.00009604,0.00000000,0,0.00000000,3073,3058,25,0.00016059
1699776391.96717405,0.01216430,19470,0.00034129,0.00000000,0,0.00000000,3058,3084,117,0.00065940
1699776392.06711555,0.01453000,19064,0.00035437,0.00000000,0,0.00000000,3084,3101,91,0.00024741
1699776392.16752267,0.01323335,19375,0.00023723,0.00000000,0,0.00000000,3101,3098,100,0.00060178
1699776392.26746964,0.01331866,19196,0.00013150,0.00000000,0,0.00000000,3098,3147,70,0.00022847
1699776392.36692858,0.01392267,19190,0.00020734,0.00000000,0,0.00000000,3147,3174,83,0.00022794
1699776392.46723938,0.01503716,19346,0.00020191,0.00000000,0,0.00000000,3174,3128,70,0.00026460
1699776392.56712675,0.01441819,19255,0.00027443,0.00000000,0,0.00000000,3128,3153,108,0.00069884
1699776392.66709948,0.01470488,19153,0.00020803,0.00000000,0,0.00000000,3153,3178,74,0.00132480
1699776392.76697230,0.01624450,19248,0.00027567,0.00000000,0,0.00000000,3178,3146,68,0.00069847
1699776392.86773729,0.01365406,19385,0.00012014,0.00000000,0,0.00000000,3146,3157,58,0.00078785
1699776392.96704173,0.01537924,19231,0.00017322,0.00000000,0,0.00000000,3157,3159,65,0.00083101
1699776393.06711721,0.01583588,19290,0.00020356,0.00000000,0,0.00000000,3159,3159,85,0.00068312
1699776393.16773915,0.01543723,19314,0.00017583,0.00000000,0,0.00000000,3159,3169,66,0.00088299
1699776393.26715875,0.01668545,19065,0.00017941,0.00000000,0,0.00000000,3169,3169,64,0.00067569
1699776393.36728096,0.01477810,19456,0.00022345,0.00000000,0,0.00000000,3169,3179,60,0.00087396
1699776393.46716738,0.01546439,19172,0.00033418,0.00000000,0,0.00000000,3179,2824,65,0.00113720
1699776393.56712008,0.01091467,19118,0.00014485,0.00000000,0,0.00000000,2824,2864,54,0.00057739
1699776393.66729689,0.01269151,19533,0.00015208,0.00000000,0,0.00000000,2864,2858,46,0.00088000
1699776393.76754689,0.01333721,19077,0.00016858,0.00000000,0,0.00000000,2858,2893,46,0.00056124
